session_test_id,age,gender,num_mushra,num_spatial,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,Harpex,37,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,Param2,89,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,FOA-Amb-Param1,87,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,Mono,0,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,string_quartet_medrev,reference,100,121846,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_anech",FOA-Amb-Param2,100,120063,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_anech",reference,83,120063,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_anech",Param1,24,120063,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_anech",Mono,0,120063,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_anech",Param2,84,120063,
